"Nº de registo";"Data da alteração";"Denominação";"Nº de contribuinte";"Marcas";"Localização (Endereço)";"Localização (Código postal)";"Localização (Localidade)";"Localização (Concelho)";"Localização (Distrito)";"ERT/DRT";"NUT II";"NUT III";"Contacto (Telef/Telem.)";"Contacto (Email)"
" 4884";"2016-09-19";"AUMENTAHORIZONTE- ACTIVIDADES TURÍSTICAS LDA";"513232494";;"Sítio da Amoreira, lote 12, Alvor, Portimão";"8500-045";"Alvor";"Portimão";"Faro";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"925433047";"pfarsenio67@gmail.com"
" 2843";"2016-04-01";"Aurilux - Viagens e Turismo, Lda.";"509387365";;"Rua de Xabregas, nº2 piso 1 Loja 14";"1900-440";"Lisboa";"Lisboa";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"218687705";"geral@aurilux.pt"
" 4749";"2017-07-03";"AUTENTOTURISMO - RENT-A-BUS, TRAVEL AGENCY, TOURI";"508039185";;"Rua Luís de Camões, 12 - Casal Moinho";"2525-351";"Atouguia da Baleia";"Peniche";"Leiria";"TURISMO DO OESTE";"Centro";"Oeste";"+351 262758477, +351214018381";"ida@autentoturismo.com, geral@autentoturismo.com"
" 6794";;"AUTO TÁXI COELHO, FERREIRA &amp; FILHO LDA";"505169312";;"RUA CARVALHO ARAÚJO N.º6 1º ANDAR ";"8000-242";"Faro";"Faro";"Faro";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"917249866";"hjfcoelho39@gmail.com"
" 6789";;"Auto Taxis Andrafer, Lda";"500927162";;"Rua Dom Dinis 79 casal das Queimadas Qta das Dalias";"1685-229";"Famões";"Odivelas";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"964120673, 964120673";"autotaxisandrafer@hotmail.com, joaquimcarreira@lisbonlimousine.pt"
" 6801";;"Auto Táxis Antunes &amp; Oliveira, Lda";"504859234";;"Rua Tomás da Anunciação Lote 28, 3.º E";"2745-698";"Queluz";"Sintra";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"962363575";"joaooliveira48@hotmail.com"
" 5830";;"Auto Taxis Guialda LDA";"500431388";;"rua Estado da India n8 10 B ";"2685-000";"Sacavém";"Loures";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"965802604";"josegomes1963@hotmail.com"
" 5892";;"Auto Taxis Modelares Dianenses Lda";"500320233";;"Rua Antonio da Silveira n 2 r/c";"7005-294";"Évora";"Évora";"Évora";"TURISMO DO ALENTEJO, E.R.T.";"Alentejo";"Alentejo Central";"968035386, 968035386";"autotaxismodelares@gmail.com, autotaxismodelares@gmail.com"
" 5553";"2017-06-12";"AUTO TRANSPORTES PROGRESSO DE ALMOÇAGEME, LDA.";"500853436";;"ESTRADA DO MACIEIRA, Nº 2 - C/V ESQ. - SINTRA";"2710-612";"Sintra";"Sintra";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"969051959";"cintaxi@hotmail.com"
" 6641";"2017-06-05";"Automoveis de Aluguer Expresso de Carralcova, Lda";"503135259";;"Lugar de Pousada, Cx 301 - Grade";"4970-190";"Grade";"Arcos de Valdevez";"Viana do Castelo";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Minho";"968326574";"automoveisaluguer@gmail.com"
" 6040";;"AUTOTÁXIS-PIRES &amp; LOURENÇO, LDA";"505048434";;"COVA DA ONÇA CAIXA POSTAL 42Z";"8700-177";"Olhão";"Olhão";"Faro";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"917790252";"atpireslourenco@gmail.com"
" 6738";;"Available &amp; Incredible Unipessoal Lda.";"513430083";"Ponto por Porto";"Rua Cidade de Espinho, nº 3, R/C";"5000-611";"Vila Real";"Vila Real";"Vila Real";"TURISMO DO DOURO";"Norte";"Douro";"259347340";"douro.travel@gmail.com"
" 2667";"2017-06-26";"AVENTURA AUTENTICA -VIAGENS E TURISMO- UNIPESSOAL";"508044480";;"Rua Vasco da Gama, Lote 3, Loja 2";"2000-232";"Santarém";"Santarém";"Santarém";"TURISMO DE LISBOA E VALE DO TEJO";"Alentejo";"Lezíria do Tejo";"+351243332123";"geral@aventura-autentica.pt"
" 2934";"2017-06-09";"AVENTURA DESCONTRAIDA-AGENCIA DE VIAGENS,LDA";"509891276";"GENTLEBEE TRANSFERS";"Rua Camilo Castelo Branco lote 2 , Lagos";"8600-535";"Lagos";"Lagos";"Faro";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"917370294, 917370294";"info@gentlebee.com, info@gentlebee.com"
" 7016";;"Aventura X UNIPESSOAL LDA";"510386059";;"Travessa da Fonte n1 ";"2640-064";"Santo Isidoro Mfr";"Mafra";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"919191219";"falarcom@aventurax.pt"
" 4280";"2016-10-27";"Aventuractiva, Eventos e Turismo Activo, Soc. Uni. Lda";"508800137";;"Rua Timor 2-A";"7540-208";"Santiago do Cacém";"Santiago do Cacém";"Setúbal";"TURISMO DO ALENTEJO LITORAL";"Alentejo";"Alentejo Litoral";"964134643";"info@aventuractiva.pt"
" 2846";"2017-02-13";"Aventuras Dignas Viagens e Turismo Unipessoal Lda.";"509018858";"BESTRAVEL";"Av. das Túlipas, 6 Loja 1.11 CC Dolce-Vita Miraflores";"1495-161";"Algés";"Oeiras";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"211583523";"miraflores@besttravel.pt"
" 4604";"2017-07-06";"Avia-te, Unipessoal, Lda.";"510930492";;"Mira Center - Mod 203-205 - Rua do Matadouro, Valeirinha, Mira";"3070-436";"Mira";"Mira";"Coimbra";"TURISMO DO CENTRO DE PORTUGAL";"Centro";"Região de Coimbra";"231247026";"geral@avia-te.com"
" 1684";"2016-12-07";"Avic - Autocarros e Viagens Irmãos Cunha, S.A.";"500141398";"AVIC/AVIC PORTUGAL";"Av Combatentes da Grande Guerra, 206";"4900-856";"Viana do Castelo";"Viana do Castelo";"Viana do Castelo";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Minho";"258806180, 258515220, 253823781, 253203910, 258721158, 253961250, 251652138";"agviana@avic.pt, agarcos@avic.pt, agbarcelos@avic.pt, agbraga@avic.pt, agcaminha@avic.pt, agesposende@avic.pt, agmoncao@avic.pt"
" 2124";"2017-01-06";"Ávila - Viagens e Turismo, Lda.";"503485845";;"Rua do Foral nr, 39";"3770-218";"Oliveira do Bairro";"Oliveira do Bairro";"Aveiro";"TURISMO DO CENTRO DE PORTUGAL";"Centro";"Região de Aveiro";"234740420/21/22";"avila@avila.webside.pt"
" 2888";"2014-06-06";"AVM Agência de Viagens de Montijo, Unip, Lda";"509778020";;"Rua Bulhão Pato nº 10";"2870-257";"Montijo";"Montijo";"Setúbal";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"211911800";"geral@avmontijo.com"
" 3491";"2012-11-19";"AVS  Tours Turismo, Lda";"502289279";;"Centro Coordenador de Tranportes em Albergaria-a-Velha";"3850-092";"Albergaria-a-Velha";"Albergaria-a-Velha";"Aveiro";"TURISMO DO CENTRO DE PORTUGAL";"Centro";"Região de Aveiro";"234523360";"info@avstours.com"
" 4825";"2016-12-20";"AZ Destinos, Viagens e Turismo Lda";"513212353";;"Rua  25 de , nº 288 R/C Loja A";"3720-281";"Oliveira de Azeméis";"Oliveira de Azeméis";"Aveiro";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Área Metropolitana do Porto";"910843245";"ana.ferreira@azdestinos.pt"
" 2627";"2016-12-20";"Azmude, Lda.";"507963075";"BY Travel";"Praça Doutor Francisco Sá Carneiro, 6A";"2750-350";"Cascais";"Cascais";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"+351214839130";"cascais@bytravel.pt"
" 6770";"2017-07-03";"AZORES DTM - DESTINATION &amp; TRAVEL MANAGEMENT, LDA";"514178418";"EMVIAGEM, PTDMC";"Av. D. João III, 13, 7º Dto.";"9500-310";"Ponta Delgada";"Ponta Delgada";"Ilha de São Miguel";"Direcção Regional do Turismo - Secretaria Regional Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";"964 826 365";"azores.dtm@gmail.com"
" 4185";"2014-08-12";"Azores Ocean Hill, Lda.";"510358888";;"Ladeira da Igreja nº132 Castelo Branco";"9900-323";"Castelo Branco Hrt";"Horta";"Ilha do Faial";"Direcção Regional do Turismo - Secretaria Regional Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";"962432694";"azoresexperiences@gmail.com"
" 6717";;"Azorestouch, Lda.";"514076054";;"Estrada. Dr. Marcelino Costa Moules, nº 104";"9700-321";"Cinco Ribeiras";"Angra do Heroísmo";"Ilha Terceira";"Direcção Regional do Turismo - Secretaria Regional Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";"916866142";"reservas@azorestouch.com"
" 2818";"2015-12-29";"Azulviajante - Viagens e Turismo, Lda.";"508944821";"Best Travel";"Rua do Soutelo nº 59A Polvoreira ";"4835-173";"Guimarães";"Guimarães";"Braga";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Ave";"253539439, 252302000";"guimaraes.gerencia@besttravel.pt, famalicao.gerencia@besttravel.pt"
" 4977";"2017-06-19";"B Q VIAGENS UNIPESSOAL LDA";"509210627";;"Rua Sophia de Mello Breyner, Lote 49, Loja 7, Quinta Correeia";"8200-084";"Albufeira";"Albufeira";"Faro";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"291765270, 289510730, 211165270";"filipa@sidetours.com, helenab@sidetours.com, jpinto@sidetours.com"
" 6030";"2017-02-02";"B.T.A.V.T. - Boutike Travel, Agência de Viagens e Turismo Lda";"513741470";;"Rua da Praça nº 14";"9545-125";"Capelas";"Ponta Delgada";"Ilha de São Miguel";"Direcção Regional do Turismo - Secretaria Regional Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";"915569485";"marcovraposo@gmail.com"
" 3889";;"Baça  Viagens e Turismo, Lda";"510586082";;"Rua Vasco da Gama, nº 16";"2460-077";"Alcobaça";"Alcobaça";"Leiria";"TURISMO DO OESTE";"Centro";"Oeste";"964090813";"bacaviagens@gmail.com"
" 6985";;"BACK TRAVEL, LDA.";"514360461";;"Rua de Santo António, nº 644 - Centro Comercial Santa Cruz, loja AG ";"4920-255";"Vila Nova de Cerveira";"Vila Nova de Cerveira";"Viana do Castelo";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Minho";"963588641";"gerardoalegre@hotmail.com"
" 6440";"2017-07-27";"Backpack - Comunicação, Unipessoal, Lda";"513455760";;"Largo de Andaluz, 16 - 5 esq";"1050-004";"Lisboa";"Lisboa";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"917000932";"fmoniz1@me.com"
" 3987";;"Bago d'Uva - Portugal Tours, lda";"510361170";;"Rua dos Moinhos, n.º 93";"4935-470";"Mazarefes";"Viana do Castelo";"Viana do Castelo";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Minho";"969207560";"geral@bagodeuvaportugaltours.com"
" 6308";;"Baia das Viagens, Lda";"513963260";;"Rua Antonio José Pereia, Lt 87 Alapraia";"2765-017";"Estoril";"Cascais";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"966585674";"baiadasviagens2016@gmail.com"
" 1730";"2016-12-19";"Bairritur - Agência de Viagens  e Turismo da Bairrada, Lda.";"500321167";;"Av das Laranjeiras, Edifício S. João, Loja I";"3780-231";"Anadia";"Anadia";"Aveiro";"TURISMO DO CENTRO DE PORTUGAL";"Centro";"Região de Aveiro";"231510200, 231422650";"bairritur@bairritur.pt, bairritur@bairritur.pt"
" 4052";"2015-06-15";"BALÃO VIAJANTE -TURISMO UNIPESSOAL LDA";"508640229";"YGO YESTRAVEL";"rua doutor José de Matos Lote 100 / CV-D";"8000-501";"Faro";"Faro";"Faro";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"917823128";"rosa.trindade@sapo.pt"
" 6741";;"Bárbara Bernardo, Unipessoal, Lda";"514250330";;"Sítio do Serro da Amarela, Cx. Postal 526 L";"8100-221";"Loulé";"Loulé";"Faro";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"963690634";"jmbb83@hotmail.com"
" 4000";"2017-04-27";"Barcadouro Soc de Turismo Fluvial e Terrestre Lda";"503588849";;"Rua da Casa Cultural S/N";"5140-154";"Linhares Crz";"Carrazeda de Ansiães";"Bragança";"TURISMO DO DOURO";"Norte";"Douro";"223722415";"reservas@barcadouro.pt"
" 2777";"2017-03-24";"Barca-Travel - Viagens e Turismo, Lda.";"508676673";;"Rua Conselheiro Rocha Peixoto, 21";"4980-626";"Ponte da Barca";"Ponte da Barca";"Viana do Castelo";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Minho";"258455096";"info@barca-travel.com"
" 1849";"2017-01-04";"Barquense - Agência de  Viagens e Turismo, Lda.";"500958785";;"Rua Dr. Joaquim Moreira de Barros, 3  ";"4980-634";"Ponte da Barca";"Ponte da Barca";"Viana do Castelo";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Minho";"258454303, 253221148";"info@barquense.pt, braga@barquense.pt"
" 3475";;"BARRAQUEIRO TRANSPORTES, SA";"500151997";;"Av. Santos e Castro, s/n";"1750-265";"Lisboa";"Lisboa";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"217511600, 219887124, 261910376, 263730500, 261 816 159, 263100654, 219380400, 219896700";"estremadura@rodest.pt, barraqueiro.alugueres@rodest.pt, barraqueiro.oeste@rodest.pt, boa.viagem@rodest.pt, mafrense@rodest.pt, ribatejana@rodest.pt, frota.azul@rodest.pt, barraqueiro.sac@rodest.pt"
" 2066";"2014-10-24";"Barvitur - Agência de Viagens  e Turismo Unipessoal, Lda.";"503099406";;"Largo dos Capuchinhos, 16";"4750-128";"Barcelos";"Barcelos";"Braga";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Cávado";"253824553";"info@barvitur.pt"
" 4912";"2016-09-22";"BATALHATUR - AGÊNCIA DE VIAGENS E TURISMO, LDA";"504877291";;"BREJOS MONTECHORO 222 A";"8200-317";"Albufeira";"Albufeira";"Faro";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"289114454";"batalhatur@net.novis.pt"
" 6597";;"BE PORTUGUÊS FOR A DAY, UNIPESSOAL LDA";"510689108";;"RUA SENHORA DA GLÓRIA N 116 3 DIREITO";"1170-354";"Lisboa";"Lisboa";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"936301826";"ruipopereira@gmail.com"
" 6847";;"Be There, Be Everywhere Lda";"513890076";;"Edf. Heron Castilho, Rua Bramcamp Nº40, 11º Andar";"1250-050";"Lisboa";"Lisboa";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"916170546";"tomas.figueiredo@b-everywhere.pt"
" 6828";;"beatriz neves ferreira";"252188470";;"RUA DO COMERCIO Nº1148";"4505-473";"Lobão";"Santa Maria da Feira";"Aveiro";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Área Metropolitana do Porto";"917115002";"BEATRIZ.FERREIRA.BN@GMAIL.COM"
" 6546";;"BEAUTIFULTRAVEL, LDA";"514150840";;"AV. ADELINO AMARO DA COSTA, LT21,LJ28, GALERIA COMERCIAL JARDINS DO LIS";"2415-367";"Leiria";"Leiria";"Leiria";"TURISMO DE LEIRIA-FÁTIMA";"Centro";"Região de Leiria";"914859274";"pmiguelbelodias@gmail.com"
" 6483";;"BEIRA SANTOS TÁXI LDA";"505175118";;"R DO ALTO DE FORNOS LT 16 Nº 28";"3620-303";"Moimenta da Beira";"Moimenta da Beira";"Viseu";"TURISMO DO DOURO";"Norte";"Douro";"254529105";"geral@beirasantos.pt"
" 4148";"2017-05-05";"Belchior tour, lda";"508058031";"LX TAXI";"Rua de Sertório do Monte Pereira  º 9, 2ºB";"2790-180";"Carnaxide";"Oeiras";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"967022450";"bechiortour@gmail.com"
" 2108";"2017-01-30";"Beletrans - Viagens e Turismo,  Lda.";"503363561";;"Av Elias Garcia, 362 D, C C Babilónia, Loja 8";"2700-633";"Amadora";"Amadora";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"214987260";"Beletransam@beletrans.pt"
" 4419";;"BELHAJ TRANSFER LDA";"510864848";;"Monte João preto vivenda belhaj";"8100-065";"Boliqueime";"Loulé";"Faro";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"915573328";"spikes.transfer@gmail.com"
" 5645";;"BELLA VISTA TRAVEL, UNIPESSOAL LDA";"513541411";;"Estrada de Fátima, 3, Vale de ourém";"2495-036";"São Mamede";"Batalha";"Leiria";"TURISMO DE LEIRIA-FÁTIMA";"Centro";"Região de Leiria";"913089039";"maribelavieira@gmail.com"
" 3773";"2016-10-31";"Bélos &amp; Ricos, Lda";"505238772";"Iberia Motion, A Touch of Class";"Rua Heróis 25 de Abril, nº 11";"2820-345";"Charneca da Caparica";"Almada";"Setúbal";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"962488365";"bbelorico@hotmail.com"
" 6831";;"belouracar rent lda.";"513802991";;"rua jorge colaço, nº 2 a-b";"1700-253";"Lisboa";"Lisboa";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"967735092";"nunoviegas46@gmail.com"
" 2369";"2017-01-05";"Belouratours - Agência de Viagens  e Turismo, Lda.";"505360977";"Beloura Travel &amp; Golf";"Centro Empresarial Quinta Beloura, Edifício 6, Escritório 1.2";"2710-693";"Sintra";"Sintra";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"219239400";"info@belouratravelgolf.com"
" 3673";"2013-04-29";"Bendix &amp; Rodrigue, Lda";"511044348";;"Rua Velha da Ajuda 10 B";"9004-559";"Funchal";"Funchal";"Ilha da Madeira";"Secretaria Regional do Turismo e Transportes - RA Madeira";"Região Autónoma da Madeira";"Região Autónoma da Madeira";"291700350, 291700350";"bendix@bendixtours.com, bendix@bendixtours.com"
" 6115";;"Bengal Prime Lda";"513687130";;"Rua do Benformoso 141-143";"1100-084";"Lisboa";"Lisboa";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"218871192";"fakid2008@gmail.com"
" 1946";"2016-12-30";"Berrelhas Turismo - Agência de  Viagens, Lda.";"501770178";;"Av Infante D.Henrique, 1 ";"3500-070";"Viseu";"Viseu";"Viseu";"TURISMO DO CENTRO DE PORTUGAL";"Centro";"Região Viseu - Dão Lafões";"232437510, 232437806";"isabel.almeida@berrelhas.pt, isabel.almeida@berrelhas.pt"
" 6222";"2017-03-16";"Best Experience Lda";"513810935";;"Avenida da Liberdade nº3 2º Piso sala 5";"1250-139";"Lisboa";"Lisboa";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"968330807";"nuno.fialho@bestexp-lx.eu"
" 6151";"2017-01-10";"BEST GOLF TRANSFER UNIP LDA";"513850635";;"RUA JOÃO DE DEUS, 25";"8900-314";"Vila Real Santo António";"Vila Real de Santo António";"Faro";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"963380832";"reservas@bestgolftransfer.com"
" 5280";"2016-02-08";"Best Shot Lda.";"508137799";;"Avenida Marquês de Tomar, N.º 35, 3.º";"1050-153";"Lisboa";"Lisboa";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"217817590";"ricardo.costa@touchgroup.com"
" 2765";"2017-02-07";"Best Transfers 4 U - Viagens e Turismo, S.A.";"508699118";;"Rua Alexandre Herculano, 9";"8000-204";"Faro";"Faro";"Faro";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"289000640, 289000640";"geral@best4u.com.pt, geral@best4u.com.pt"
" 2019";"2017-01-27";"Beta - Viagens e Turismo, Lda.";"502832738";;"Av D. Afonso Henriques, 45 - Loja A";"3000-011";"Coimbra";"Coimbra";"Coimbra";"TURISMO DO CENTRO DE PORTUGAL";"Centro";"Região de Coimbra";"239793000";"comercial@beta-viagens.pt"
" 4042";"2017-07-03";"Beyond the Paradise - Agência de Viagens";"510698158";;"Rua Luís de Camões ,Chão das Donas nº 83, R/C";"8500-469";"Portimão";"Portimão";"Faro";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"917294424";"romeucortes@hotmail.com"
" 5994";"2016-10-11";"BFL - Agência de Viagens, Lda";"503521973";;"Avenida Afonso III, nº 65 A - Loja";"1900-041";"Lisboa";"Lisboa";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"210029900";"artur@gbf.pt"
" 4405";"2016-02-03";"BIGEYE TOURS, LDA";"510971806";;"Praça Patrão Joaquim lopes n23 R/C";"8700-314";"Olhão";"Olhão";"Faro";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"289705041";"bigeye@bigeyetours.com"
" 1732";"2017-03-22";"Bigtur - Viagens e Turismo, Lda.";"500427356";;"Rua Dr. Domingues de Almeida Brandão 211";"3730-251";"Vale de Cambra";"Vale de Cambra";"Aveiro";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Área Metropolitana do Porto";"256462448";"bigtur@bigtur.pt"
" 3833";"2017-02-16";"Biotravel, Lda";"508896070";;"Praça José Falcão, nº 44, R/C";"3220-206";"Miranda do Corvo";"Miranda do Corvo";"Coimbra";"TURISMO DO CENTRO DE PORTUGAL";"Centro";"Região de Coimbra";"239530090";"biotravel.mcv@gmail.com"
" 3908";"2017-03-07";"Birds &amp; Nature Tours, Lda.";"508486637";;"Monte dos Sapos, Vivenda S/N";"7750-387";"Mértola";"Mértola";"Beja";"TURISMO DO ALENTEJO, E.R.T.";"Alentejo";"Baixo Alentejo";"913299990, 913299990";"joao.jara@birds.pt, joao.jara@birds.pt"
" 3541";"2017-01-26";"BLATAS, Lda.";"511076193";;"Avenida de Zarco n.º 2";"9000-069";"Funchal";"Funchal";"Ilha da Madeira";"Secretaria Regional do Turismo e Transportes - RA Madeira";"Região Autónoma da Madeira";"Região Autónoma da Madeira";"291976560, 291200620";"duarte.serrao@blandytravel.com, duarte.serrao@blandytravel.com"
" 4379";"2015-12-22";"Blessing - Prestação de Serviços e Transportes Personalizados, lda";"510890130";;"Rua Estado da India, nº29, Edificio Goa, Escritório 308";"2685-146";"Sacavém";"Loures";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"918600877, 211311763";"geral@blessing.pt, geral@blessing.pt"
" 4049";"2017-06-22";"BLISS TOURS - VIAGENS TURISMO, UNIPESSOAL, LDA";"510699880";;"Lugar da Mata Velha, Casa das Magnólias";"4920-071";"Loivo";"Vila Nova de Cerveira";"Viana do Castelo";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Minho";"933927309";"franciscombsmarques@gmail.com"
" 2447";"2017-01-19";"Blue Coast Travel - Agência de Viagens e Turismo, Lda.";"506552861";;"Rua dos Balsares de Baixo nº 23 - 1º Fte.";"1750-037";"Lisboa";"Lisboa";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"219425324, 218400117";"bctravel.santos@clix.pt, bctravel.geral@gmail.com"
" 5205";"2016-12-29";"Blue Dialogue - Agência de Viagens, Lda";"513408746";;"Largo Branco de Melo, 72, R/chão ";"3840-383";"Vagos";"Vagos";"Aveiro";"TURISMO DO CENTRO DE PORTUGAL";"Centro";"Região de Aveiro";"961037528";"bookviagens@gmail.com"
" 6616";;"Blue Diamond Private Tours Unipessoal Lda,";"513355944";;"Rua do Triângulo Vermelho Nª 26 R/c Drt";"1170-375";"Lisboa";"Lisboa";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"+351939346730";"marco@bluediamond.pt"
" 4582";"2017-04-11";"Blue Olive LDA";"513057447";;"Alameda da Fonte Velha nº48A Bloco A3 R/Esq";"2710-694";"Sintra";"Sintra";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"309706223";"apachecocarvalho@gmail.com"
" 5509";"2017-05-05";"Blue Sky Golf Rental, Lda";"513435905";;"Rua do Silveiro - Casa do Sol - Apartado 2406";"8100-098";"Boliqueime";"Loulé";"Faro";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"918487626";"info@blueskygolf-rental.com"
" 6837";;"Bluebell, Lda";"506038190";;"Rua do Centro Empresarial, Edifício nº 6 - 1º";"2710-693";"Sintra";"Sintra";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"917233435";"cjs1500@gmail.com"
" 5286";"2017-02-22";"BLUETREASURE LDA";"513456422";;"Rua São Tomás de Aquino, 16B";"1600-871";"Lisboa";"Lisboa";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"21 1399849";"tania.correia@bluetreasure.pt "
" 2389";"2017-05-30";"Boa Maré - Agência de Viagens , Lda.";"505823713";;"Av D. Nuno Álvares Pereira, 78 - C";"2735-146";"Agualva-Cacém";"Sintra";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"214338540";"geral@boamare.webside.pt"
" 2559";"2017-04-04";"Boiatur - Agência de Viagens, Lda.";"501811699";;"Rua do Lusitano Lote 1 1º Andar";"8900-282";"Vila Real Santo António";"Vila Real de Santo António";"Faro";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"281511292";"reservas@boiatur.com"
