"Tipologia";"Nº de Registo";"Nome";"Marcas";"Categoria";"Estado da Classificação";"Capacidade";"Número de Unidades de Alojamento";"Número de Unidades de Alojamento com Mobilidade Reduzida";"Localização (Endereço)";"Localização (Código Postal)";"Localização (Localidade)";"Localização (Concelho)";"Localização (Distrito)";"Localização (Latitude)";"Localização (Longitude)";"Contactos (Telefone)";"Contacto (Fax)";"Contacto (Email)";"Contacto (Página Internet)";"DRT/ERT";"NUT II";"NUT III";"Periodos de Encerramento";"Utilidade Turística";"Imóvel Classificado de Interesse";"Número de Restaurantes";"Salas de reunião";"Capacidade das salas de reunião";"SPA";"Piscinas Exteriores";"Piscinas Interiores";"Ténis";"Ginásio";"Golfe";"Outras";"Tipo de Certificação Qualidade";"Tipo de Certificação Ambiental";"Entidade Exploradora";"Entidades Públicas Financiadoras"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"4858";"Casa de Vale de Salgueiro 2";;;"Classificado em auditoria";"6";"3";"0";"Vale de Salgueiro";"5370-660";"Vale de Salgueiro";"Mirandela";"Bragança";;;"962524463";;"vicentebarreto@gmail.com";;"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Trás-os-Montes";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"CASAS DO FANTAL TURISMO RURAL UNIPESSOAL LDA";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5843";"Casa de Viana do Alentejo";;;"Classificado em auditoria";"10";"5";"0";"Rua Cândido dos Reis, n.º 1";"7090-238";"Viana do Alentejo";"Viana do Alentejo";"Évora";;;"266953500";;"geral@casadevianadoalentejo.com";;"TURISMO DO ALENTEJO, E.R.T.";"Alentejo";"Alentejo Central";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Savatur - Turismo em Espaço Rural, Lda";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5549";"Casa de Vila Cete";"Casa de Gondomil - Turismo no Douro, Lda";;"Classificado em auditoria";"4";"2";"2";"Rua das Covas, 271";"4575-058";"Alpendurada e Matos";"Marco de Canaveses";"Porto";;;"00351.919230606";;"info@casadegondomil.pt";"www.casadegondomil.pt";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Tâmega";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Sim";;;"CASA DE GONDOMIL TURISMO NO DOURO LDA";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5556";"Casa de Vilar";;;"Classificado em auditoria";"4";"2";"0";"Vilar Ginzo-Lavradas";"4980-411";"Lavradas";"Ponte da Barca";"Viana do Castelo";;;"968569698";;"casadevilar13@gmail.com";;"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"GERAÇÃO PRIMAVERA FRUTOS SILVESTRES LDA";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"4303";"Casa de Vilar do Monte";;;"Classificado em auditoria";"4";"2";"0";"Vilar do Monte";"4990-795";"Vilar do Monte Ptl";"Ponte de Lima";"Viana do Castelo";"41.834774";"-8.552494";"934440770";;"elosdamontanha@gmail.com";;"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Capricho Selvagem, Lda.";
"Empreendimento de Turismo de Habitação";"189";"Casa de Vilarinho de S. Romão";"Solares de Portugal";;"Por reconverter";"12";"6";"0";"Vilarinho de São Romão";"5060-630";"Vilarinho de São Romão";"Sabrosa";"Vila Real";"41.247410";"-7.576221";"259930754";"259939288";"mail@casadevilarinho.com";"www.casadevilarinho.com";"TURISMO DO DOURO";"Norte";"Douro";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";"APCER ERS 3001 TH/ER";;"Cristina Filomena Olazabal Van Zeller";"Outra, "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5754";"Casa de Vitorino de Piães";"AltaVista";;"Classificado em auditoria";"6";"3";"0";"Rua de Carreiras, N.º 1441 - Navio e Vitorino de Piães";"4990-816";"Vitorino dos Piães";"Ponte de Lima";"Viana do Castelo";;;"938539330";;"isaque1916@gmail.com";;"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";;"Não";"---";"0";"Não";"0";"Não";"Não";"Sim";"Não";"Não";"Não";"Não";;;"MARIA DAS DORES OLIVEIRA VIANA";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5859";"Casa de Xisto Santo António";;;"Classificado em projeto";"3";"2";"0";"Rua da Serra, nº 2";"6300-245";"Videmonte";"Guarda";"Guarda";;;"914 381 254";;"casadexisto@gmail.com";;"TURISMO SERRA DA ESTRELA";"Centro (P)";"Beira Interior Norte";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Eduardo Miguel Azevedo Proença";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5543";"CASA DO ADRO";;;"Classificado em auditoria";"12";"6";"0";"LARGO DO EIRÓ, N.º 15";"4970-670";"Soajo";"Arcos de Valdevez";"Viana do Castelo";;;"258576327";"258576327";"casadoadroturismoruralavv@gmail.com";;"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";"Marcas Parques Com Vida";;"ANTONIO SALVADOR BAPTISTA ENES";"Outra, "
"Empreendimento de Turismo de Habitação";"1236";"Casa do Adro da Igreja";"TER";;"Classificado em auditoria";"12";"6";"1";"Rua Diario de Noticias";"7645-257";"Vila Nova de Milfontes";"Odemira";"Beja";"37.723440";"-8.782354";"283 997102";"283 997102";"info@casadoadro.com.pt";"www.casadoadro.com.pt";"TURISMO DO ALENTEJO LITORAL";"Alentejo";"Alentejo Litoral";;"Não";"---";"0";"Sim";"12";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Idalia Maria da Costa Jose";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"6114";"CASA DO ADRO DE PARADA";;;"Classificado em auditoria";"10";"5";"0";"RUA DO FUNDO DA RUA";"5060-121";"Parada de Pinhão";"Sabrosa";"Vila Real";;;"919380270";;"joaoteixeira.comendador@gmail.com";;"TURISMO DO DOURO";"Norte";"Douro";"2016-04-20-&gt;2016-04-30 Ano em causa:2016, ";"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"CASA DO ADRO DE PARADA - SOCIEDADE UNIPESSOAL, LDA.";
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"4408";"Casa do Aido";"Recantos da Montanha";;"Classificado em auditoria";"8";"4";"1";"Rua Fundo do Povo, n.º 19";"3660-042";"Candal";"São Pedro do Sul";"Viseu";"40.853759";"-8.177565";"968041708";;"antoniogo2007@gmail.com";"www.recantosdamontanha.pt";"TURISMO DO CENTRO DE PORTUGAL";"Centro (P)";"Dão-Lafões";;"Não";"---";"0";"Sim";"20";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Custódia de Lurdes Duarte do Aido Oliveira, Unipessoal, Lda.";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"3677";"Casa do Aidro de Paranhos";;;"Classificado em auditoria";"14";"7";"0";"Rua Maria Carolina, n.º 38";"6270-133";"Paranhos Sei";"Seia";"Guarda";"40.477639";"-7.779350";"238080271";"238080271";"geral@casaaidrodeparanhos.com";"www.casaaidrodeparanhos.com";"TURISMO SERRA DA ESTRELA";"Centro (P)";"Serra da Estrela";;"Não";"---";"0";"Sim";"12";"Não";"Não";"Não";"Não";"Não";"Não";"Sim";;;"MARGARIDA MARIA MENDES PINTO MENDES UNIPESSOAL LDA";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5593";"Casa do Alfaro";;;"Classificado em auditoria";"22";"11";"0";"Quinta do Alfaro Norte, Casais do Alfaro";"2050-361";"Azambuja";"Azambuja";"Lisboa";;;"933467598";;"mundopitoresco@gmail.com";;"TURISMO DE LISBOA E VALE DO TEJO";"Alentejo";"Lezíria do Tejo";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Mundo Pitoresco - Actividades Turísticas, Lda";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"4546";"CASA DO ALPENDRE";"CASA DO ALPENDRE";;"Classificado em auditoria";"10";"5";"1";"Rua do Cimo do Povo";"5300-542";"França";"Bragança";"Bragança";;;"962328697";;"odete.esteves@gmail.com";;"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Trás-os-Montes";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"EIRANCESTRAL UNIPESSOAL LDA";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"3533";"Casa do Ameal";"Solares de Portugal";;"Classificado em auditoria";"25";"8";"0";"Rua do Ameal, 119";"4900-585";"Viana do Castelo";"Viana do Castelo";"Viana do Castelo";"41.703245";"-8.815573";"258822403";"258822405";"casadoameal@gmail.com";"www.casadoameal.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"MARIA ELISA DA COSTA PEREIRA DE MAGALH?ES FARIA A";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"3921";"Casa do Arco";;;"Classificado em auditoria";"5";"5";"0";"Rua da Fonte, Cimo de Aldeia - Mezio";"3600-401";"Mezio";"Castro Daire";"Viseu";"40.982182";"-7.894213";"919901947";;"jmorgado6@gmail.com";"www.casadoarco.pt";"TURISMO DO CENTRO DE PORTUGAL";"Centro (P)";"Dão-Lafões";;"Não";"---";"0";"Sim";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Sim";;;"Joaquim Almeida Morgado Unipessoal, Lda.";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5991";"Casa do Arneiro";;;"Classificado em auditoria";"10";"5";"1";"Monte do pego, s/n";"6050-452";"Santana Nis";"Nisa";"Portalegre";;;"939274364";;"jmrprebocho@gmail.com";;"TURISMO DO ALENTEJO, E.R.T.";"Alentejo";"Alto Alentejo";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Sim";;;"AGROTURISMO PORTAS DE RODÃO UNIPESSOAL LDA";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"664";"Casa do Avô";;;"Classificado em auditoria";"8";"4";"0";"Casal Novo";"3300-221";"Cepos";"Arganil";"Coimbra";"40.161597";"-7.943968";"235751036";"235751036";"info@casas-da-serradoacor.pt";"www.casas-da-serradoacor.pt";"TURISMO DO CENTRO DE PORTUGAL";"Centro (P)";"Pinhal Interior Norte";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Casas da Serra do Açor Lda.";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"3474";"Casa do Avô";;;"Classificado em auditoria";"4";"2";"0";"lugar da igreja sistelo";"4970-645";"Sistelo";"Arcos de Valdevez";"Viana do Castelo";"41.973303";"-8.374753";"966047299";;"oscarjazevedo@sapo.pt";;"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Lúcia de Maria Fernandes Cardoso de Azevedo";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5019";"Casa do Avô Barbosa";;;"Classificado em auditoria";"3";"2";"0";"Rua da Aldeia de Trebilhadouro, nº 222";"3730-376";"Rôge";"Vale de Cambra";"Aveiro";;;"918626295";;"revivertrebilhadouro@hotmail.com";;"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Entre Douro e Vouga";;"Sim";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"aurea rodrigues marques santos unipessoal lda";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5663";"Casa do Azibo";"Casa do Azibo";;"Classificado em auditoria";"9";"5";"0";"Rua do Cruzeiro";"5340-410";"Santa Combinha";"Macedo de Cavaleiros";"Bragança";;;"912441764";;"geral@casadoazibo.pt";"www.casadoazibo.pt";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Trás-os-Montes";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"MARIA LURDES PIRES UNIPESSOAL LDA";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"3564";"CASA DO BAIRRINHO";"CASAS DO BAIRRINHO";;"Classificado em auditoria";"5";"2";"0";"RUA DO BAIRRINHO, 34";"5350-312";"Sambade";"Alfândega da Fé";"Bragança";"41.344363";"-6.960181";"919500079";"279479133";"casasdobairrinho@gmail.com";"www.casasdobairrinho@gmail.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Trás-os-Montes";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"MARIA ALZIRA VAZ";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"4469";"Casa do Bairro";"Casa do Bairro";;"Classificado em auditoria";"16";"8";"0";"Rua do Bairro nº 302";"4625-034";"Ariz Mcn";"Marco de Canaveses";"Porto";"41.107838";"-8.212944";"934433122";;"w.lamego@mcoutinho.pt";;"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Tâmega";;"Não";"---";"0";"Sim";"50";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"CASA DO BAIRRO";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"4677";"Casa do Balcão do Toural";;;"Classificado em auditoria";"8";"4";"0";"Rua do Toural nº 12";"6290-526";"Gouveia";"Gouveia";"Guarda";;;"926603157";;"casasdotoural1@gmail.com";;"TURISMO SERRA DA ESTRELA";"Centro (P)";"Serra da Estrela";;"Não";"---";"0";"Sim";"20";"Não";"Sim";"Não";"Sim";"Não";"Não";"Não";;;"Casas do Toural, Sociedade de Desenvolvimento Agro-Turístico, Lda";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"4870";"Casa do Balcão Turismo em Espaço Rural (TER) Casa de Campo";;;"Classificado em auditoria";"11";"4";"1";"R. do Fundo, 36 Póvoa de Rio de Moinhos";"6000-610";"Póvoa de Rio de Moinhos";"Castelo Branco";"Castelo Branco";;;"917751417";;"casa.balcao@gmail.com";"em elaboração";"TURISMO DO CENTRO DE PORTUGAL";"Centro (P)";"Beira Interior Sul";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"PRAZERNAGENDA TURISMO RURAL UNIPESSOAL LDA";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo de Habitação";"1265";"Casa do Barreiro";"Solares de Portugal";;"Classificado em auditoria";"20";"9";"0";"Lugar de Pousada";"4990-645";"Gemieira";"Ponte de Lima";"Viana do Castelo";"41.776080";"-8.528668";"258948137";"258948137";"casadobarreiro@netc.pt";"www.casadobarreiro.net";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Sim";"Não";"Não";"Não";"APCER ERS 3001 TH/TER";;"MIGUEL DIOGO BARBA DE MENESES MALHEIRO BARBOSA";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"528";"Casa do Barreiro de Cima";;;"Por reconverter";"10";"5";"1";"Parada de Atei";"4880-043";"Atei";"Mondim de Basto";"Vila Real";"41.447745";"-7.928803";"255386491";;"cbarreirodecima@hotmail.com";"www.barreirodecima.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Ave";"2010-12-24-&gt;2010-12-27 Ano em causa:2010, ";"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Sim";;;"ANTONIO AUGUSTO MACHADO FERREIRA DE BRITO";
"Empreendimento de Turismo de Habitação";"6005";"Casa do Bárrio";;;"Classificado em auditoria";"16";"8";"0";"Lugar do Bárrio nº 77 Chorense";"4840-060";"Chorense";"Terras de Bouro";"Braga";;;"253107660";;"reservas@quintadobarrio.pt";"www.quintadobarrio.pt/";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Cávado";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"MANUEL MARIA VIEIRA DA SILVA";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"3390";"Casa do Barroco";;;"Classificado em auditoria";"4";"2";"0";"Sazes Velho";"6270-529";"Seia";"Seia";"Guarda";"40.324023";"-7.690583";"917829529";;"rosalcastro@gmail.com";"www.casadanascente.com";"TURISMO SERRA DA ESTRELA";"Centro (P)";"Serra da Estrela";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"ROSA CASTRO &amp; FILHOS LDA";
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"5594";"Casa do Bodelgo";"Casa do Bodelgo";;"Classificado em auditoria";"6";"3";"1";"Rua do bairro alto nº 99,";"5225-103";"Sendim";"Miranda do Douro";"Bragança";;;"937383993";;"aquilino.ginjo@hotmail.com";"www.bodelgo.pt";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Trás-os-Montes";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Helena Cristina Lucas Soares";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"3963";"Casa do Borratém";;;"Classificado em auditoria";"4";"1";"0";"Rua do Borratém, 11";"2640-709";"São Miguel de Alcainça";"Mafra";"Lisboa";"38.922339";"-9.291182";"+351927006015";;"casa.borratem@gmail.com";"www.casadoborratem.com";"TURISMO DE LISBOA E VALE DO TEJO";"Lisboa";"Grande Lisboa";;"Não";"Regional";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Sim";;;"GON?ALO JOSE DOS SANTOS MOTA";
"Empreendimento de Turismo de Habitação";"46";"CASA DO BRIGADEIRO";"Casa do Brigadeiro";;"Por reconverter";"14";"6";"0";"Largo José Maria Pires";"6360-510";"Lajeosa do Mondego";"Celorico da Beira";"Guarda";"40.626453";"-7.337279";"271743638";;"casabrigadeiri@sapo.pt";"casadobrigadeiro.com.sapo.pt";"TURISMO SERRA DA ESTRELA";"Centro (P)";"Beira Interior Norte";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Sim";"Não";"Sim";;;"Fernando Manuel de Almeida Pereira";
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"5579";"Casa do Brito";"Casa do Brito";;"Classificado em auditoria";"12";"6";"1";"Edral";"5320-032";"Edral";"Vinhais";"Bragança";;;"932855648";;"edralreis@gmail.com";;"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Trás-os-Montes";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"ANTONIO JOSE DOS REIS";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"868";"Casa do Burro";;;"Classificado em auditoria";"2";"1";"0";"Largo Dr. Luís Mendes Caldeira Nº1";"6290-241";"Paços da Serra";"Gouveia";"Guarda";"40.459715";"-7.650025";"934297935";;"info@casagrande.com.pt";;"TURISMO SERRA DA ESTRELA";"Centro (P)";"Serra da Estrela";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Maria Margarida de Almeida e Vasconcelos";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"3738";"casa do cabeço";;;"Classificado em auditoria";"10";"8";"0";"rua das lamas";"6270-196";"Santa Marinha Sei";"Seia";"Guarda";"40.455152";"-7.666255";"238390223";;"sebastiaomarquesalmeida@gmail.com";;"TURISMO SERRA DA ESTRELA";"Centro (P)";"Serra da Estrela";;"Não";"---";"0";"Sim";"10";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"SEBASTI?O MARQUES DE ALMEIDA";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5257";"CASA DO CABO";;;"Classificado em auditoria";"4";"2";"0";"Rua do Bairrinho";"5350-312";"Sambade";"Alfândega da Fé";"Bragança";;;"279479133";"279479133";"casasdobairrinho@gmail.com";;"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Trás-os-Montes";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"CASAS DO BAIRRINHO UNIPESSOAL LDA";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"4839";"Casa do Calvário";"Casa do Calvario";;"Classificado em auditoria";"6";"3";"0";"Lugar do Calvário- Sever";"3620-504";"Sever Mbr";"Moimenta da Beira";"Viseu";;;"917345236";;"casdocalvario@gmail.com";"www.casdocalvario.pt";"TURISMO DO DOURO";"Norte";"Douro";;"Não";"---";"0";"Sim";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"ANTONIO DE PAIVA MENDES";
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"5464";"Casa do Caminho Verde";;;"Classificado em auditoria";"10";"5";"1";"Caminho do Verde, 60";"9370-729";"Arco da Calheta";"Calheta";"Ilha da Madeira";;;"964233396";;"lidiasousa1959@gmail.com";"www.caminhodoverde.pt";"Secretaria Regional do Turismo e Transportes - RA Madeira";"Região Autónoma da Madeira";"Região Autónoma da Madeira";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"LIDIA FARIA DE SOUSA, UNIPESSOAL LDA";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"4891";"Casa do Campanário 1";"Casa do Campanário";;"Classificado em auditoria";"4";"2";"0";"Rua da Mesquita";"6320-536";"Sortelha";"Sabugal";"Guarda";;;"964864317";"271753155";"luispaulo55@sapo.pt";;"TURISMO SERRA DA ESTRELA";"Centro (P)";"Beira Interior Norte";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"LUIS PAULO";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5538";"Casa do Campo - Azenha do Carrelo";;;"Classificado em auditoria";"6";"3";"0";"Rua Azenhas";"4730-120";"Coucieiro";"Vila Verde";"Braga";;;"934244840";;"azenhadocarrelo@gmail.com";;"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Cávado";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"ALBINO DE SOUSA PEREIRA";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo de Habitação";"187";"CASA DO CAMPO - EMP. TURISTICOS LDA.";"Solares de Portugal";;"Classificado em auditoria";"19";"10";"0";"Molares";"4890-140";"Canedo de Basto";"Celorico de Basto";"Braga";"41.412898";"-7.989582";"255361231";"255361231";"infogeral@casadocampo.pt";"www.casadocampo.pt";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Tâmega";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Sim";"Não";"Não";"Não";"APCER ERS3001 TH/TER";;"CASA DO CAMPO EMPREENDIMENTOS TURISTICOS LDA";"Outra, "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"3224";"Casa do Canal";"Casa do Canal - Turismo Rural - Aljezur";;"Classificado em auditoria";"10";"4";"1";"Sitio da Barradinha - Alfambras";"8670-058";"Aljezur";"Aljezur";"Faro";"37.253048";"-8.820080";"962364460";"218874247";"raquelmelomorais@gmail.com";"www.casadocanal.com";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"raquel melo morais";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"4294";"Casa do Canastro";;;"Classificado em auditoria";"6";"3";"1";"Rua Entre-Palheiros";"5470-471";"Sezelhe";"Montalegre";"Vila Real";"41.812654";"-7.874879";"276518125";"276518125";"geral@naturbarroso.net";"www.termontalegre.net";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Trás-os-Montes";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Sim";;;"naturbarroso";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"1111";"CASA DO CANIÇO DO VILAR";"VILAR DOS CONDES";;"Classificado em auditoria";"3";"2";"0";"VILAR CIMEIRO";"6160-211";"Madeirã";"Oleiros";"Castelo Branco";"39.916023";"-7.915710";"968632907";"272664265";"vilardoscondes@gmail.com";"www.vilardoscondes.com";"TURISMO DO CENTRO DE PORTUGAL";"Centro (P)";"Pinhal Interior Sul";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"MARIA TERESA LUCAS DE ALMEIDA";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5255";"CASA DO CANTO";;;"Classificado em auditoria";"4";"2";"0";"Rua do Bairrinho";"5350-312";"Sambade";"Alfândega da Fé";"Bragança";;;"279479133";"27979133";"casasdobairrinho@gmail.com";;"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Trás-os-Montes";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"CASAS DO BAIRRINHO UNIPESSOAL LDA";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo de Habitação";"6051";"Casa do Capitão-Mor";"Casa do Capitão Mor";;"Classificado em projeto";"13";"7";"1";"Rua do Brasão, s/n - Casa do Capitão Mor - Tróia";"3220-242";"Miranda do Corvo";"Miranda do Corvo";"Coimbra";;;"239531108";;"mario.meira.santos@gmail.com";;"TURISMO DO CENTRO DE PORTUGAL";"Centro (P)";"Pinhal Interior Norte";;"Não";"Local";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Solar de Tróia - Turismo de Habitação - Sociedade";"Programa de Desenvolvimento Rural (PRODER), "
